to_node   from_node   capacity          prob_failure
1           2          8000000           .004
1           3          8000000           .004
2           1          8000000           .004
2           5          8000000           .004
3           1          8000000           .004
3           4          8000000           .004
3           6          8000000           .004
4           3          8000000           .004
4           5          8000000           .004
4           7          8000000           .004
4           8          8000000           .004
5           2          8000000           .004
5           4          8000000           .004
5           6          8000000           .004
6           3          8000000           .004
6           5          8000000           .004
6           7          8000000           .004
6           8          8000000           .004
7           4          8000000           .004
7           6          8000000           .004
7           8          8000000           .004
7           11           8000000           .004
8           4          8000000           .004
8           6          8000000           .004
8           7          8000000           .004
8           10           8000000           .004
9           10           8000000           .004
9           11           8000000           .004
10          8           8000000           .004
10          9           8000000           .004
10          11          8000000           .004
10          12          8000000           .004
11          7           8000000           .004
11          9           8000000           .004
11          10          8000000           .004
11          12          8000000           .004
12          10          8000000           .004
12          11          8000000           .004
